benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.247        0.000
SET       7.775        5.000
SET       9.599       10.000
SET      10.879       15.000
SET      11.903       20.000
SET      12.799       25.000
SET      13.695       30.000
SET      14.527       35.000
SET      15.423       40.000
SET      16.191       45.000
SET      17.151       50.000
SET      17.663       52.500
SET      18.175       55.000
SET      18.687       57.500
SET      19.199       60.000
SET      19.711       62.500
SET      20.223       65.000
SET      20.863       67.500
SET      21.631       70.000
SET      22.399       72.500
SET      23.167       75.000
SET      23.679       76.250
SET      24.063       77.500
SET      24.447       78.750
SET      25.087       80.000
SET      25.599       81.250
SET      26.239       82.500
SET      26.879       83.750
SET      27.647       85.000
SET      28.287       86.250
SET      29.183       87.500
SET      29.695       88.125
SET      30.207       88.750
SET      30.719       89.375
SET      31.231       90.000
SET      31.871       90.625
SET      32.511       91.250
SET      33.279       91.875
SET      34.047       92.500
SET      35.071       93.125
SET      36.095       93.750
SET      36.607       94.062
SET      37.119       94.375
SET      37.887       94.688
SET      38.655       95.000
SET      39.167       95.312
SET      39.935       95.625
SET      40.959       95.938
SET      41.727       96.250
SET      42.751       96.562
SET      44.031       96.875
SET      44.543       97.031
SET      45.055       97.188
SET      45.823       97.344
SET      46.591       97.500
SET      47.615       97.656
SET      48.383       97.812
SET      49.407       97.969
SET      50.431       98.125
SET      51.711       98.281
SET      53.247       98.438
SET      53.759       98.516
SET      54.527       98.594
SET      55.551       98.672
SET      56.319       98.750
SET      57.343       98.828
SET      58.367       98.906
SET      59.647       98.984
SET      60.927       99.062
SET      62.463       99.141
SET      64.255       99.219
SET      65.023       99.258
SET      66.047       99.297
SET      67.071       99.336
SET      68.607       99.375
SET      69.631       99.414
SET      71.167       99.453
SET      73.215       99.492
SET      75.775       99.531
SET      77.823       99.570
SET      80.383       99.609
SET      81.919       99.629
SET      84.479       99.648
SET      86.527       99.668
SET      89.087       99.688
SET      92.159       99.707
SET     100.351       99.727
SET     105.471       99.746
