benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.335        0.000
SET       7.903        5.000
SET       9.727       10.000
SET      11.007       15.000
SET      12.031       20.000
SET      12.991       25.000
SET      13.887       30.000
SET      14.783       35.000
SET      15.615       40.000
SET      16.511       45.000
SET      17.407       50.000
SET      17.919       52.500
SET      18.431       55.000
SET      18.943       57.500
SET      19.583       60.000
SET      20.095       62.500
SET      20.607       65.000
SET      21.247       67.500
SET      22.015       70.000
SET      22.783       72.500
SET      23.679       75.000
SET      24.063       76.250
SET      24.447       77.500
SET      24.959       78.750
SET      25.471       80.000
SET      26.111       81.250
SET      26.751       82.500
SET      27.519       83.750
SET      28.159       85.000
SET      28.927       86.250
SET      29.823       87.500
SET      30.335       88.125
SET      30.847       88.750
SET      31.359       89.375
SET      31.999       90.000
SET      32.511       90.625
SET      33.279       91.250
SET      34.047       91.875
SET      34.815       92.500
SET      35.839       93.125
SET      36.863       93.750
SET      37.375       94.062
SET      37.887       94.375
SET      38.655       94.688
SET      39.423       95.000
SET      39.935       95.312
SET      40.703       95.625
SET      41.727       95.938
SET      42.751       96.250
SET      43.775       96.562
SET      44.799       96.875
SET      45.567       97.031
SET      46.335       97.188
SET      47.103       97.344
SET      47.871       97.500
SET      48.639       97.656
SET      49.407       97.812
SET      50.687       97.969
SET      51.967       98.125
SET      52.991       98.281
SET      54.271       98.438
SET      54.783       98.516
SET      55.807       98.594
SET      56.575       98.672
SET      57.599       98.750
SET      58.367       98.828
SET      59.647       98.906
SET      60.671       98.984
SET      62.207       99.062
